Category,Number_of_Reports,Percent_Increase_from_Last_Year
Identity Theft,1387615,0.2939
Unspecified Reports,1008373,0.04272
Online Shopping and Negative Reviews,354758,0.03755
"Prizes, Sweepstakes and Lotteries",116205,0.0246
"Credit Bureaus, Information Furnishers and Report Users",316848,0.0224
Imposter Scams,509213,0.02156
Credit Cards,66090,0.014
Debt Collection,120353,0.01275
"Privacy, Data Security, and Cyber Threats",74925,0.00795
"Travel, Vacations and Timeshare Plans",73470,0.005166667
Banks and Lenders,171193,0.004525
Computer Equipment and Software,21306,0.0045
Foreign Money Offers and Fake Check Scams,38480,0.00405
Auto Related,122369,0.003714286
Internet Services,142154,0.003355556
Television and Electronic Media,41111,0.0029
Education,26958,0.00285
Business and Job Opportunities,59162,0.0025
"Home Repair, Improvement and Products",52636,0.00185
Health Care,83761,0.001609091
Telephone and Mobile Services,86647,0.001533333
Investment Related,24649,0.0013
Magazines and Books,6333,0.0013
Mortgage Foreclosure Relief and Debt Management,10727,0.00115
Charitable Solicitations,4629,0.001
Tax Preparers,4616,0.001
Advance Payments for Credit Services,16842,0.0009
Miscellaneous Reports,48278,0.000784615
Office Supplies and Services,5392,0.0006
Internet Auction,1822,0.0004
Grants,4015,0.0004
Funeral Services,1309,0.0003
