Detailed Report Categories over Three Years
Year,Category,SubCategory,# of Reports,Percentage
2018,Advance Payments for Credit Services,Advance-Fee Credit,"16,851",0.54%
2018,Advance Payments for Credit Services,Credit Card Loss Protection,76,0.00%
2018,Advance Payments for Credit Services,Credit Repair,"3,125",0.10%
2018,Advance Payments for Credit Services,Refund Scams,565,0.02%
2018,Auto Related,Auto Financing,"10,288",0.33%
2018,Auto Related,Auto Parts & Repairs,"21,573",0.69%
2018,Auto Related,Auto Renting & Leasing,"9,905",0.32%
2018,Auto Related,Auto Service & Warranties,"7,201",0.23%
2018,Auto Related,Gasoline,345,0.01%
2018,Auto Related,New Auto Sales,"36,592",1.17%
2018,Auto Related,Used Auto Sales,"30,165",0.97%
2018,Banks and Lenders,Auto Title Lending,979,0.03%
2018,Banks and Lenders,Bank & Credit Union Lending,277,0.01%
2018,Banks and Lenders,"Banks, Credit Unions & S&Ls","49,074",1.58%
2018,Banks and Lenders,Finance Company Lending,"7,774",0.25%
2018,Banks and Lenders,Misc. Institution Lending,"9,157",0.29%
2018,Banks and Lenders,Mortgage Lending,"38,707",1.24%
2018,Banks and Lenders,Payday Loans,"7,599",0.24%
2018,Banks and Lenders,Student Loans,"31,167",1.00%
2018,Business and Job Opportunities,Business & Work-at-Home Opportunities,"13,115",0.42%
2018,Business and Job Opportunities,Franchises & Distributorships*,465,0.01%
2018,Business and Job Opportunities,Invention Promotion,767,0.02%
2018,Business and Job Opportunities,Job Scams & Employment Agencies,"9,976",0.32%
2018,Business and Job Opportunities,Pyramids & Multi-Level Marketing,"1,584",0.05%
2018,Charitable Solicitations,Charitable Solicitations,"4,492",0.14%
2018,Computer Equipment and Software,Computer Equipment & Software,"19,817",0.64%
2018,"Credit Bureaus, Information Furnishers and Report Users",Credit Bureaus,"137,214",4.40%
2018,"Credit Bureaus, Information Furnishers and Report Users",Credit Information Furnishers,850,0.03%
2018,"Credit Bureaus, Information Furnishers and Report Users",Credit Report Users,277,0.01%
2018,Credit Cards,Credit Cards,"52,845",1.70%
2018,Debt Collection,Creditor Debt Collection,"38,569",1.24%
2018,Debt Collection,Third Party Debt Collection,"445,929",14.31%
2018,Education,Colleges & Universities,"13,705",0.44%
2018,Education,Trade & Vocational Schools,"2,399",0.08%
2018,Foreign Money Offers and Fake Check Scams,Fake Check Scams,"23,123",0.74%
2018,Foreign Money Offers and Fake Check Scams,Foreign Money & Inheritance Scams,"4,467",0.14%
2018,Funeral Services,Funeral Services,"1,036",0.03%
2018,Grants,Non-Educational Grants,"5,632",0.18%
2018,Grants,Scholarships & Educational Grants,750,0.02%
2018,Health Care,Connected Wearable Devices*,45,0.00%
2018,Health Care,"Diet Products, Plans & Centers","13,759",0.44%
2018,Health Care,Eye Care*,"4,208",0.14%
2018,Health Care,Health Care Billing,"1,121",0.04%
2018,Health Care,Health Care: Dietary Supplements\Herbal Remedies§,"2,541",0.08%
2018,Health Care,Health Care: Drugs-OTC\Prescription§,"2,097",0.07%
2018,Health Care,Health Care: Other Medical Treatments*§,"11,832",0.38%
2018,Health Care,Health Care: Other Products\Supplies*§,"11,456",0.37%
